,city,National Park?,Memorial or Monument?,Lake or River?,Castles or other Historical Sites?,Theatres or Museums?,Parks or Gardens?
0,"Brasília, Brazil",1,1,1,0,1,1
1,"Quito, Ecuador",0,1,0,1,1,1
2,"San Jose, Costa Rica",1,1,0,1,1,1
3,"La Paz, Bolivia",0,1,0,0,1,1
4,"Asuncion, Paraguay",0,1,0,1,1,1
5,"Caracas, Venezuela",1,1,0,1,1,1
6,"Bogota, Colombia",1,1,0,1,1,1
7,"Lima, Peru",1,1,0,1,1,1
8,"Santiago, Chile",1,1,0,1,1,1
9,"Buenos Aires, Argentina",0,1,0,1,1,1
10,"Managua, Nicaragua",1,1,0,1,1,1
11,"Montevideo, Uruguay",0,1,0,1,1,1
12,"Guatemala City, Guatemala",1,1,0,1,1,1
13,"San Salvador, El Salvador",1,1,0,1,1,1
14,"Panama City, Panama",1,1,0,1,1,1
15,"Mexico City, Mexico",1,1,0,1,1,1
16,"Kingston, Jamaica",0,1,0,1,1,1
17,"Havana, Cuba",0,1,0,1,1,1
18,"San Juan, Puerto Rico",1,1,0,1,1,1
19,"Santo Domingo, Dominican Republic",0,1,0,1,1,1
20,"Port of Spain, Trinidad and Tobago",0,1,0,1,1,1
